#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,05/26/2022 08:00:00,22.35,,
2,05/26/2022 08:05:00,22.35,,
3,05/26/2022 08:10:00,22.31,,
4,05/26/2022 08:15:00,22.31,,
5,05/26/2022 08:20:00,22.39,,
6,05/26/2022 08:25:00,22.35,,
7,05/26/2022 08:30:00,22.31,,
8,05/26/2022 08:35:00,22.35,,
9,05/26/2022 08:40:00,22.35,,
10,05/26/2022 08:45:00,22.31,,
11,05/26/2022 08:50:00,22.35,,
12,05/26/2022 08:55:00,22.35,,
13,05/26/2022 09:00:00,22.35,,
14,05/26/2022 09:05:00,22.35,,
15,05/26/2022 09:10:00,22.35,,
16,05/26/2022 09:15:00,22.35,,
17,05/26/2022 09:20:00,22.26,,
18,05/26/2022 09:25:00,22.31,,
19,05/26/2022 09:30:00,22.31,,
20,05/26/2022 09:35:00,22.31,,
21,05/26/2022 09:40:00,22.31,,
22,05/26/2022 09:45:00,22.35,,
23,05/26/2022 09:50:00,22.35,,
24,05/26/2022 09:55:00,22.31,,
25,05/26/2022 10:00:00,22.26,,
26,05/26/2022 10:05:00,22.26,,
27,05/26/2022 10:10:00,22.22,,
28,05/26/2022 10:15:00,22.31,,
29,05/26/2022 10:20:00,22.69,,
30,05/26/2022 10:25:00,23.34,,
31,05/26/2022 10:30:00,24.49,,
32,05/26/2022 10:35:00,25.31,,
33,05/26/2022 10:40:00,26.17,,
34,05/26/2022 10:45:00,27.07,,
35,05/26/2022 10:50:00,28.23,,
36,05/26/2022 10:55:00,29.56,,
37,05/26/2022 11:00:00,31.06,,
38,05/26/2022 11:05:00,32.60,,
39,05/26/2022 11:10:00,34.15,,
40,05/26/2022 11:15:00,34.75,,
41,05/26/2022 11:20:00,34.92,,
42,05/26/2022 11:25:00,34.79,,
43,05/26/2022 11:30:00,34.49,,
44,05/26/2022 11:35:00,34.15,,
45,05/26/2022 11:40:00,33.72,,
46,05/26/2022 11:45:00,33.20,,
47,05/26/2022 11:50:00,32.60,,
48,05/26/2022 11:55:00,32.30,,
49,05/26/2022 12:00:00,32.13,,
50,05/26/2022 12:05:00,32.30,,
51,05/26/2022 12:10:00,32.52,,
52,05/26/2022 12:15:00,32.47,,
53,05/26/2022 12:20:00,32.73,,
54,05/26/2022 12:25:00,32.94,,
55,05/26/2022 12:30:00,33.16,,
56,05/26/2022 12:35:00,33.25,,
57,05/26/2022 12:40:00,33.46,,
58,05/26/2022 12:45:00,33.63,,
59,05/26/2022 12:50:00,33.72,,
60,05/26/2022 12:55:00,33.80,,
61,05/26/2022 13:00:00,33.93,,
62,05/26/2022 13:05:00,33.97,,
63,05/26/2022 13:10:00,34.02,,
64,05/26/2022 13:15:00,34.06,,
65,05/26/2022 13:20:00,33.97,,
66,05/26/2022 13:25:00,33.76,,
67,05/26/2022 13:30:00,33.42,,
68,05/26/2022 13:35:00,33.37,,
69,05/26/2022 13:40:00,33.12,,
70,05/26/2022 13:45:00,32.99,,
71,05/26/2022 13:50:00,32.99,,
72,05/26/2022 13:55:00,33.16,,
73,05/26/2022 14:00:00,33.50,,
74,05/26/2022 14:05:00,33.89,,
75,05/26/2022 14:10:00,34.23,,
76,05/26/2022 14:15:00,34.62,,
77,05/26/2022 14:20:00,35.00,,
78,05/26/2022 14:25:00,35.26,,
79,05/26/2022 14:30:00,35.30,,
80,05/26/2022 14:35:00,35.26,,
81,05/26/2022 14:40:00,35.18,,
82,05/26/2022 14:45:00,34.92,,
83,05/26/2022 14:50:00,34.49,,
84,05/26/2022 14:55:00,34.27,,
85,05/26/2022 15:00:00,34.10,,
86,05/26/2022 15:05:00,34.15,,
87,05/26/2022 15:10:00,34.15,,
88,05/26/2022 15:15:00,33.93,,
89,05/26/2022 15:20:00,33.93,,
90,05/26/2022 15:25:00,33.76,,
91,05/26/2022 15:30:00,29.90,,
92,05/26/2022 15:35:00,27.37,,
93,05/26/2022 15:40:00,26.72,,
94,05/26/2022 15:45:00,26.34,,
95,05/26/2022 15:50:00,26.51,,
96,05/26/2022 15:55:00,26.21,,
97,05/26/2022 16:00:00,26.17,,
98,05/26/2022 16:05:00,26.30,,
99,05/26/2022 16:10:00,26.47,,
100,05/26/2022 16:15:00,26.21,,
101,05/26/2022 16:20:00,26.21,,
102,05/26/2022 16:25:00,26.04,,
103,05/26/2022 16:30:00,25.95,,
104,05/26/2022 16:35:00,26.38,,
105,05/26/2022 16:40:00,26.38,,
106,05/26/2022 16:45:00,26.34,,
107,05/26/2022 16:50:00,26.34,,
108,05/26/2022 16:55:00,26.47,,
109,05/26/2022 17:00:00,26.38,,
110,05/26/2022 17:05:00,26.25,,
111,05/26/2022 17:10:00,26.17,,
112,05/26/2022 17:15:00,26.12,,
